HACKATHON> show-unicode-characters :all

ARROWS

2190 : ←   #\LEFTWARDS_ARROW
21EA : ⇪   #\UPWARDS_WHITE_ARROW_FROM_BAR
21EB : ⇫   #\UPWARDS_WHITE_ARROW_ON_PEDESTAL
21EC : ⇬   #\UPWARDS_WHITE_ARROW_ON_PEDESTAL_WITH_HORIZONTAL_BAR
21ED : ⇭   #\UPWARDS_WHITE_ARROW_ON_PEDESTAL_WITH_VERTICAL_BAR
21EE : ⇮   #\UPWARDS_WHITE_DOUBLE_ARROW
21EF : ⇯   #\UPWARDS_WHITE_DOUBLE_ARROW_ON_PEDESTAL
21F0 : ⇰   #\RIGHTWARDS_WHITE_ARROW_FROM_WALL
21F1 : ⇱   #\NORTH_WEST_ARROW_TO_CORNER
21F2 : ⇲   #\SOUTH_EAST_ARROW_TO_CORNER
21F3 : ⇳   #\UP_DOWN_WHITE_ARROW
21F4 : ⇴   #\RIGHT_ARROW_WITH_SMALL_CIRCLE
21F5 : ⇵   #\DOWNWARDS_ARROW_LEFTWARDS_OF_UPWARDS_ARROW
21F6 : ⇶   #\THREE_RIGHTWARDS_ARROWS
21F7 : ⇷   #\LEFTWARDS_ARROW_WITH_VERTICAL_STROKE
21F8 : ⇸   #\RIGHTWARDS_ARROW_WITH_VERTICAL_STROKE
21F9 : ⇹   #\LEFT_RIGHT_ARROW_WITH_VERTICAL_STROKE
21FA : ⇺   #\LEFTWARDS_ARROW_WITH_DOUBLE_VERTICAL_STROKE
21FB : ⇻   #\RIGHTWARDS_ARROW_WITH_DOUBLE_VERTICAL_STROKE
21FC : ⇼   #\LEFT_RIGHT_ARROW_WITH_DOUBLE_VERTICAL_STROKE
21FD : ⇽   #\LEFTWARDS_OPEN-HEADED_ARROW
21FE : ⇾   #\RIGHTWARDS_OPEN-HEADED_ARROW
21FF : ⇿   #\LEFT_RIGHT_OPEN-HEADED_ARROW

DINGBATS

2700 : ✀   #\BLACK_SAFETY_SCISSORS
2701 : ✁   #\UPPER_BLADE_SCISSORS
2702 : ✂   #\BLACK_SCISSORS
2703 : ✃   #\LOWER_BLADE_SCISSORS
2704 : ✄   #\WHITE_SCISSORS
2705 : ✅   #\WHITE_HEAVY_CHECK_MARK
2706 : ✆   #\TELEPHONE_LOCATION_SIGN
2707 : ✇   #\TAPE_DRIVE
2708 : ✈   #\AIRPLANE
2709 : ✉   #\ENVELOPE
270A : ✊   #\RAISED_FIST
270B : ✋   #\RAISED_HAND
270C : ✌   #\VICTORY_HAND
270D : ✍   #\WRITING_HAND
270E : ✎   #\LOWER_RIGHT_PENCIL
270F : ✏   #\PENCIL
2710 : ✐   #\UPPER_RIGHT_PENCIL
2711 : ✑   #\WHITE_NIB
2712 : ✒   #\BLACK_NIB
2713 : ✓   #\CHECK_MARK
2714 : ✔   #\HEAVY_CHECK_MARK
2715 : ✕   #\MULTIPLICATION_X
2716 : ✖   #\HEAVY_MULTIPLICATION_X
2717 : ✗   #\BALLOT_X
2718 : ✘   #\HEAVY_BALLOT_X
2719 : ✙   #\OUTLINED_GREEK_CROSS
271A : ✚   #\HEAVY_GREEK_CROSS
271B : ✛   #\OPEN_CENTRE_CROSS
271C : ✜   #\HEAVY_OPEN_CENTRE_CROSS
271D : ✝   #\LATIN_CROSS
271E : ✞   #\SHADOWED_WHITE_LATIN_CROSS
271F : ✟   #\OUTLINED_LATIN_CROSS
2720 : ✠   #\MALTESE_CROSS
2721 : ✡   #\STAR_OF_DAVID
